user_id,anime_id,rating
-1,5114,10
-1,21,10
-1,223,9
-1,11061,10
-1,392,9
-1,1,8
-1,16498,8
-1,45,8
-1,154,8
-1,11757,7
-1,1254,7
-1,696,7
-1,20,7
-1,269,7
-1,23755,6
-1,6702,6
-1,30,4
-1,8074,3
-1,14345,2
-1,1535,9
